Subject,Start Date,Start Time,End Date,End Time,All day event,Description
First Sunday of Advent [1] Violet,2017-12-03,,,,TRUE,"Week of Advent 1
First Sunday of Advent [1] Violet

EUCHARIST
Isaiah 64:1-9
Psalm 80:1-7, 17-19
1 Corinthians 1:3-9
Mark 13:24-37

DAILY PRAYER: Anticipation
Isaiah 1:1-20
1 Thessalonians 5:1-11
John 3:1-17

ALTERNATIVE PSALMS
Morning: Psalm 9
Evening: Psalm 25"
"Clement of Alexandria, Teacher of the Faith, c.210 [6] White",2017-12-04,,,,TRUE,"Week of Advent 1
Clement of Alexandria, Teacher of the Faith, c.210 [6] White
Monday after First Sunday of Advent, Violet

DAILY EUCHARIST
Isaiah 2:1-5
Psalm 122 
Matthew 8:5-13

DAILY PRAYER: Anticipation 
Amos 1:1-3, 13 - 2:16
2 Peter 1:1-11
Matthew 21:1-11"
"Francis Xavier, Priest and Missionary, 1552 [6] White (translated from 3 December)",2017-12-05,,,,TRUE,"Week of Advent 1
Francis Xavier, Priest and Missionary, 1552 [6] White (translated from 3 December)
Tuesday after First Sunday of Advent, Violet

DAILY EUCHARIST
Isaiah 11:1-10
Psalm 72:1-8
Luke 10:21-24

DAILY PRAYER: Anticipation
Amos 3:1-11
2 Peter 1:12-21
Matthew 21:12-22"
"Nicholas of Myra, Bishop, 4th century [6] White",2017-12-06,,,,TRUE,"Week of Advent 1
Nicholas of Myra, Bishop, 4th century [6] White
Wednesday after First Sunday of Advent, Violet

DAILY EUCHARIST
Isaiah 25:6-9
Psalm 23
Matthew 15:29-39

DAILY PRAYER: Anticipation
Amos 3:12 - 4:5
2 Peter 3:1-10
Matthew 21:23-32"
"Ambrose of Milan, Bishop and Teacher of the Faith, c.210 [6] White",2017-12-07,,,,TRUE,"Week of Advent 1
Ambrose of Milan, Bishop and Teacher of the Faith, c.210 [6] White
Thursday after First Sunday of Advent, Violet

DAILY EUCHARIST
Isaiah 26:6-9
Psalm 118:19-24
Matthew 7:21-27

DAILY PRAYER: Anticipation
Amos 4:6-13
2 Peter 3:11-18
Matthew 21:33-46"
"Conception of Mary, Mother of the Lord [5] White",2017-12-08,,,,TRUE,"Week of Advent 1
Conception of Mary, Mother of the Lord [5] White

Common readings for saints' days
Mary, Mother of the Lord

Genesis 3:9-15, 20
Psalm 45:10-17
Acts 1:12-14
Luke 1:26-38

or

Isaiah 7:10-14
Psalm 113
Romans 8:18-30
Luke 1:39-47

or

Micah 5:1-4
Psalm 131
Galatians 4:4-7
John 19:25-27

---

Week of Advent 1
Friday after First Sunday of Advent, Violet

DAILY EUCHARIST
Isaiah 29:17-24
Psalm 27:1-6, 17-18
Matthew 9:27-31

DAILY PRAYER: Anticipation
Amos 5:1-17
Jude 1-16
Matthew 22:1-14"
Saturday after First Sunday of Advent,2017-12-09,,,,TRUE,"Week of Advent 1
Saturday after First Sunday of Advent, Violet

DAILY EUCHARIST
Isaiah 30:19-21, 23-26
Psalm 147:1-12
Matthew 9:35 - 10:1, 5-8

DAILY PRAYER: Anticipation
Amos 5:18-27
Jude 17-25
Matthew 22:15-22"
Second Sunday of Advent [1] Violet,2017-12-10,,,,TRUE,"Week of Advent 2
Second Sunday of Advent [1] Violet

EUCHARIST
Isaiah 40:1-11
Psalm 85:1-2, 8-13
2 Peter 3:8-15a
Mark 1:1-8

DAILY PRAYER: Anticipation 
1 Kings 22:1-28
Romans 13:11-14
John 1:19-28

ALTERNATIVE PSALMS
Morning: Psalm 11
Evening: Psalm 40:11-17"
Monday after Second Sunday of Advent,2017-12-11,,,,TRUE,"Week of Advent 2
Monday after Second Sunday of Advent, Violet

DAILY EUCHARIST
Isaiah 35:1-10 
Psalm 85:8-13 
Luke 5:17-26

DAILY PRAYER: Anticipation 
Amos 6:1-14 
Revelation 1:1-8 
Matthew 22:23-33"
Tuesday after Second Sunday of Advent,2017-12-12,,,,TRUE,"Week of Advent 2
Tuesday after Second Sunday of Advent, Violet

DAILY EUCHARIST
Isaiah 40:1-11 
Psalm 96 
Matthew 18:12-14 

DAILY PRAYER: Anticipation 
Amos 7:1-17 
Revelation 1:9-16 
Matthew 22:34-46"
Wednesday after Second Sunday of Advent,2017-12-13,,,,TRUE,"Week of Advent 2
Wednesday after Second Sunday of Advent, Violet

DAILY EUCHARIST
Isaiah 40:25-31 
Psalm 103:1-10 
Matthew 11:28-30

DAILY PRAYER: Anticipation 
Amos 8:1-14
Revelation 1:17 - 2:7
Matthew 23:1-12"
"John of the Cross, Priest, Teacher of the Faith, 1591 [6] White",2017-12-14,,,,TRUE,"Week of Advent 2
John of the Cross, Priest, Teacher of the Faith, 1591 [6] White
Thursday after Second Sunday of Advent, Violet

DAILY EUCHARIST
Isaiah 41:13-20 
Psalm 145:1-4, 8-13 
Matthew 11:7-15 

DAILY PRAYER: Anticipation 
Amos 9:1-10
Revelation 2:8-17
Matthew 23:13-26"
Friday after Second Sunday of Advent,2017-12-15,,,,TRUE,"Week of Advent 2
Friday after Second Sunday of Advent, Violet

DAILY EUCHARIST
Isaiah 48:17-19 
Psalm 1 
Matthew 11:16-19

DAILY PRAYER: Anticipation 
Haggai 1:1-15
Revelation 2:18-29
Matthew 23:27-39"
Saturday after Second Sunday of Advent,2017-12-16,,,,TRUE,"Week of Advent 2
Saturday after Second Sunday of Advent, Violet

DAILY EUCHARIST
Sirach 48:1-11
Psalm 80:1-3, 14-18
Matthew 17:9-13

DAILY PRAYER: Anticipation 
Haggai 2:1-9
Revelation 3:1-6
Matthew 24:1-14
"
