Subject,Start Date,Start Time,End Date,End Time,All Day Event,Reminder on/off,Description,Priority,Sensitivity,Show time as
First Sunday of Advent [1] Violet,02/12/2018,,,,TRUE,FALSE,"First Sunday of Advent [1] Violet
Week of Advent 1

EUCHARIST
Jeremiah 33:14-16
Psalm 25:1-10
1 Thessalonians 3:9-13
Luke 21:25-36

DAILY PRAYER: Anticipation
Isaiah 52:1-12
Revelation 14:13 - 15:4
Matthew 24:15-18

ALTERNATIVE PSALMS
Morning: Psalm 9
Evening: Psalm 25",Normal,Normal,3
"Francis Xavier, Priest and Missionary, 1552 [6] White",03/12/2018,,,,TRUE,FALSE,"Francis Xavier, Priest and Missionary, 1552 [6] White
Monday after First Sunday of Advent
Week of Advent 1

DAILY EUCHARIST (Violet)
Isaiah 4:2-6 
Psalm 122 
Matthew 8:5-13

DAILY PRAYER: Anticipation 
Isaiah 1:1-20
1 Thessalonians 1:1-10
Luke 20:1-8",Normal,Normal,3
"Clement of Alexandria, Teacher of the Faith, c.210 [6] White",04/12/2018,,,,TRUE,FALSE,"Clement of Alexandria, Teacher of the Faith, c.210 [6] White
Tuesday after First Sunday of Advent
Week of Advent 1

DAILY EUCHARIST (Violet)
Isaiah 11:1-10 
Psalm 72:1-8 
Luke 10:21-24 

DAILY PRAYER: Anticipation 
Isaiah 1:21-31
1 Thessalonians 2:1-12
Luke 20:9-18",Normal,Normal,3
"Nicholas Ferrar, Deacon, 1637 [6] White (translated from 2 December)",05/12/2018,,,,TRUE,FALSE,"Nicholas Ferrar, Deacon, 1637 [6] White (translated from 2 December)
Wednesday after First Sunday of Advent
Week of Advent 1

DAILY EUCHARIST (Violet)
Isaiah 25:6-9 
Psalm 23 
Matthew 15:29-39 

DAILY PRAYER: Anticipation 
Isaiah 2:1-11
1 Thessalonians 2:13-20
Luke 20:19-26",Normal,Normal,3
"Nicholas of Myra, Bishop, 4th century [6] White",06/12/2018,,,,TRUE,FALSE,"Nicholas of Myra, Bishop, 4th century [6] White
Thursday after First Sunday of Advent
Week of Advent 1

DAILY EUCHARIST (Violet)
Isaiah 26:1-6 
Psalm 118:19-24 
Matthew 7:21-27 

DAILY PRAYER: Anticipation 
Isaiah 2:12-22
1 Thessalonians 3:1-13
Luke 20:27-40",Normal,Normal,3
"Ambrose of Milan, Bishop and Teacher of the Faith, c.210 [6] White",07/12/2018,,,,TRUE,FALSE,"Ambrose of Milan, Bishop and Teacher of the Faith, c.210 [6] White
Friday after First Sunday of Advent
Week of Advent 1

DAILY EUCHARIST (Violet)
Isaiah 29:17-24 
Psalm 27:1-6, 17-18 
Matthew 9:27-31 

DAILY PRAYER: Anticipation 
Isaiah 3:8-15
1 Thessalonians 4:1-12
Luke 20:41 - 21:4",Normal,Normal,3
"Conception of Mary, Mother of the Lord [5] White",08/12/2018,,,,TRUE,FALSE,"Conception of Mary, Mother of the Lord [5] White

Common readings for saints' days
MARY, MOTHER OF THE LORD

Genesis 3:9-15, 20
Psalm 45:10-17
Acts 1:12-14
Luke 1:26-38

or

Isaiah 7:10-14
Psalm 113
Romans 8:18-30
Luke 1:39-47

or

Micah 5:1-4
Psalm 131
Galatians 4:4-7
John 19:25-27

---

Week of Advent 1
Saturday after First Sunday of Advent

DAILY EUCHARIST (Violet)
Isaiah 30:19-21, 23-26
Psalm 147:1-12
Matthew 9:35 - 10:1, 5-8

DAILY PRAYER: Anticipation 
Isaiah 4:2-6
1 Thessalonians 4:13-18
Luke 21:5-19",Normal,Normal,3
Second Sunday of Advent [1] Violet,09/12/2018,,,,TRUE,FALSE,"Second Sunday of Advent [1] Violet
Week of Advent 2

EUCHARIST
Baruch 5:1-9 or Malachi 3:1-4
Canticle: Luke 1:68-79
Philippians 1:3-11
Luke 3:1-6

DAILY PRAYER: Anticipation 
1 Kings 18:17-39
Romans 15:4-13
Luke 1:1-25

ALTERNATIVE PSALMS
Morning: Psalm 11
Evening: Psalm 40:11-17",Normal,Normal,3
Monday after Second Sunday of Advent,10/12/2018,,,,TRUE,FALSE,"Monday after Second Sunday of Advent
Week of Advent 2

DAILY EUCHARIST (Violet)
Isaiah 35:1-10 
Psalm 85:8-13 
Luke 5:17-26

DAILY PRAYER: Anticipation 
Isaiah 5:1-13
1 Thessalonians 5:1-11
Luke 21:20-28",Normal,Normal,3
Tuesday after Second Sunday of Advent,11/12/2018,,,,TRUE,FALSE,"Tuesday after Second Sunday of Advent
Week of Advent 2

DAILY EUCHARIST (Violet)
Isaiah 40:1-11 
Psalm 96 
Matthew 18:12-14 

DAILY PRAYER: Anticipation 
Isaiah 5:14-25
1 Thessalonians 5:12-28
Luke 21:29-38",Normal,Normal,3
Wednesday after Second Sunday of Advent,12/12/2018,,,,TRUE,FALSE,"Wednesday after Second Sunday of Advent
Week of Advent 2

DAILY EUCHARIST (Violet)
Isaiah 40:25-31 
Psalm 103:1-10 
Matthew 11:28-30

DAILY PRAYER: Anticipation 
Isaiah 6:1-13
2 Thessalonians 1:1-12
John 7:53 - 8:11",Normal,Normal,3
Thursday after Second Sunday of Advent,13/12/2018,,,,TRUE,FALSE,"Thursday after Second Sunday of Advent
Week of Advent 2

DAILY EUCHARIST (Violet)
Isaiah 41:13-20 
Psalm 145:1-4, 8-13 
Matthew 11:7-15 

DAILY PRAYER: Anticipation 
Isaiah 7:1-9
2 Thessalonians 2:1-12
Luke 22:1-13",Normal,Normal,3
"John of the Cross, Priest, Teacher of the Faith, 1591 [6] White",14/12/2018,,,,TRUE,FALSE,"John of the Cross, Priest, Teacher of the Faith, 1591 [6] White
Friday after Second Sunday of Advent
Week of Advent 2

DAILY EUCHARIST (Violet)
Isaiah 48:17-19 
Psalm 1 
Matthew 11:16-19

DAILY PRAYER: Anticipation 
Isaiah 7:10-25
2 Thessalonians 2:13 - 3:5
Luke 22:14-30",Normal,Normal,3
