Subject,Start Date,Start Time,End Date,End Time,All day event,Reminder on/off,Description,Priority,Sensitivity,Show time as
First Sunday of Advent [1] Violet,28/11/2021,00:00:00,,,TRUE,FALSE,"Sunday 28 November 2021

First Sunday of Advent [1] Violet
Week of Advent 1
Year C/2

EUCHARIST
Jeremiah 33:14-16
Psalm 25:1-10
1 Thessalonians 3:9-13
Luke 21:25-36

DAILY PRAYER: Anticipation
Isaiah 1:1-20
1 Thessalonians 5:1-11
John 3:1-17

ALTERNATIVE PSALMS
Morning: Psalm 9
Evening: Psalm 25

COLLECT
Stir up your power, Lord, and come:
that, with you as our protector,
we may be rescued from our sins;
and with you as our deliverer,
we may be set free;
for you live and reign with God the Father,
in the unity of the Holy Spirit,
one God, world without end.

The following Collect may be used to conclude the Intercession throughout Advent, or as
the Prayer after Communion as an alternative to the Prayers in section 24 of the Scottish

Liturgy 1982:
Almighty God, give us grace to cast away the works of darkness
and to put on the armour of light,
now in the time of this mortal life,
in which your Son Jesus Christ came to us in great humility:
that on the last day,
when he shall come again in his glorious majesty
to judge the living and the dead,
we may rise to the life immortal;
through him who lives and reigns with you,
in the unity of the Holy Spirit,
one God, world without end.

Downloaded from https://www.seccalendar.org.uk/
v1.2.1 (2021-11-18)",Normal,Normal,3
Monday after First Sunday of Advent,29/11/2021,00:00:00,,,TRUE,FALSE,"Monday 29 November 2021

Monday after First Sunday of Advent (Violet)
Week of Advent 1
Year C/2

EUCHARIST
Isaiah 2:1-5
Psalm 122 
Matthew 8:5-13

DAILY PRAYER: Anticipation 
Amos 1:1-3, 13 - 2:16
2 Peter 1:1-11
Matthew 21:1-11

COLLECT
Stir up your power, Lord, and come:
that, with you as our protector,
we may be rescued from our sins;
and with you as our deliverer,
we may be set free;
for you live and reign with God the Father,
in the unity of the Holy Spirit,
one God, world without end.",Normal,Normal,3
"Andrew, Apostle, Patron of Scotland [4] Red",30/11/2021,00:00:00,,,TRUE,FALSE,"Tuesday 30 November 2021

Andrew, Apostle, Patron of Scotland [4] Red
Week of Advent 1
Year C/2

EUCHARIST
Deuteronomy 30:11-14 or Isaiah 52:7-10
Psalm 19:1-6
Romans 10:(8b-11), 12-18
Matthew 4:18-22

MORNING PRAYER: Festivals
Isaiah 49:1-6
1 Corinthians 4:1-16

EVENING PRAYER: Festivals
Isaiah 55:1-5
John 1:35-42

COLLECT
Almighty God, who gave such grace to your apostle Andrew
that he readily obeyed the call of your Son, Jesus Christ:
give us, who are called by your holy Word,
the grace to follow him without delay,
and to be messengers of the good news of your kingdom;
through the same Jesus Christ, our Lord,
who lives and reigns with you,
in the unity of the Holy Spirit,
one God, world without end.

---

Tuesday after First Sunday of Advent (Violet)
Week of Advent 1
Year C/1

EUCHARIST
Isaiah 11:1-10
Psalm 72:1-8
Luke 10:21-24

DAILY PRAYER: Anticipation
Amos 3:1-11
2 Peter 1:12-21
Matthew 21:12-22


COLLECT
Stir up your power, Lord, and come:
that, with you as our protector,
we may be rescued from our sins;
and with you as our deliverer,
we may be set free;
for you live and reign with God the Father,
in the unity of the Holy Spirit,
one God, world without end.",Normal,Normal,3
"Charles de Foucauld, Priest and Hermit, 1916 [6] White",01/12/2021,00:00:00,,,TRUE,FALSE,"Wednesday 1 December 2021

Charles de Foucauld, Priest and Hermit, 1916 [6] White
Wednesday after First Sunday of Advent
Week of Advent 1
Year C/2

EUCHARIST (Violet)
Isaiah 25:6-9
Psalm 23
Matthew 15:29-39

DAILY PRAYER: Anticipation
Amos 3:12 - 4:5
2 Peter 3:1-10
Matthew 21:23-32

COLLECT
Stir up your power, Lord, and come:
that, with you as our protector,
we may be rescued from our sins;
and with you as our deliverer,
we may be set free;
for you live and reign with God the Father,
in the unity of the Holy Spirit,
one God, world without end.",Normal,Normal,3
"Nicholas Ferrar, Deacon, 1637 [6] White",02/12/2021,00:00:00,,,TRUE,FALSE,"Thursday 2 December 2021

Nicholas Ferrar, Deacon, 1637 [6] White
Thursday after First Sunday of Advent (Violet)
Week of Advent 1
Year C/2

EUCHARIST
Isaiah 26:6-9
Psalm 118:19-24
Matthew 7:21-27

DAILY PRAYER: Anticipation
Amos 4:6-13
2 Peter 3:11-18
Matthew 21:33-46

COLLECT
Stir up your power, Lord, and come:
that, with you as our protector,
we may be rescued from our sins;
and with you as our deliverer,
we may be set free;
for you live and reign with God the Father,
in the unity of the Holy Spirit,
one God, world without end.",Normal,Normal,3
"Francis Xavier, Priest and Missionary, 1552 [6] White",03/12/2021,00:00:00,,,TRUE,FALSE,"Friday 3 December 2021

Francis Xavier, Priest and Missionary, 1552 [6] White
Friday after First Sunday of Advent (Violet)
Week of Advent 1
Year C/2

EUCHARIST
Isaiah 29:17-24
Psalm 27:1-6, 17-18
Matthew 9:27-31

DAILY PRAYER: Anticipation
Amos 5:1-17
Jude 1-16
Matthew 22:1-14

COLLECT
Stir up your power, Lord, and come:
that, with you as our protector,
we may be rescued from our sins;
and with you as our deliverer,
we may be set free;
for you live and reign with God the Father,
in the unity of the Holy Spirit,
one God, world without end.",Normal,Normal,3
"Clement of Alexandria, Teacher of the Faith, c.214 [6] White",04/12/2021,00:00:00,,,TRUE,FALSE,"Saturday 4 December 2021

Clement of Alexandria, Teacher of the Faith, c.214 [6] White
Saturday after First Sunday of Advent (Violet)
Week of Advent 1
Year C/2

EUCHARIST
Isaiah 30:19-21, 23-26
Psalm 147:1-12
Matthew 9:35 - 10:1, 5-8

DAILY PRAYER: Anticipation
Amos 5:18-27
Jude 17-25
Matthew 22:15-22

COLLECT
Stir up your power, Lord, and come:
that, with you as our protector,
we may be rescued from our sins;
and with you as our deliverer,
we may be set free;
for you live and reign with God the Father,
in the unity of the Holy Spirit,
one God, world without end.",Normal,Normal,3
Second Sunday of Advent [1] Violet,05/12/2021,00:00:00,,,TRUE,FALSE,"Sunday 5 December 2021

Second Sunday of Advent [1] Violet
Week of Advent 2
Year C/2

EUCHARIST
Baruch 5:1-9 or Malachi 3:1-4
Canticle: Luke 1:68-79
Philippians 1:3-11
Luke 3:1-6

DAILY PRAYER: Anticipation 
1 Kings 22:1-28
Romans 13:11-14
John 1:19-28

ALTERNATIVE PSALMS
Morning: Psalm 11
Evening: Psalm 40:11-17

COLLECT
Stir up our hearts, Lord,
to prepare the way of your only-begotten Son:
that, in his coming,
we might serve you with our hearts made pure;
through the same Jesus Christ, our Lord,
who lives and reigns with you,
in the unity of the Holy Spirit,
one God, world without end.",Normal,Normal,3
"Nicholas of Myra, Bishop, 4th century [6] White",06/12/2021,00:00:00,,,TRUE,FALSE,"Monday 6 December 2021

Nicholas of Myra, Bishop, 4th century [6] White
Monday after Second Sunday of Advent (Violet)
Week of Advent 2
Year C/2

EUCHARIST
Isaiah 35:1-10 
Psalm 85:8-13 
Luke 5:17-26

DAILY PRAYER: Anticipation 
Amos 6:1-14 
Revelation 1:1-8 
Matthew 22:23-33

COLLECT
Stir up our hearts, Lord,
to prepare the way of your only-begotten Son:
that, in his coming,
we might serve you with our hearts made pure;
through the same Jesus Christ, our Lord,
who lives and reigns with you,
in the unity of the Holy Spirit,
one God, world without end.",Normal,Normal,3
"Ambrose of Milan, Bishop and Teacher of the Faith, 397 [6] White",07/12/2021,00:00:00,,,TRUE,FALSE,"Tuesday 7 December 2021

Ambrose of Milan, Bishop and Teacher of the Faith, 397 [6] White
Tuesday after Second Sunday of Advent (Violet)
Week of Advent 2
Year C/2

EUCHARIST
Isaiah 40:1-11 
Psalm 96 
Matthew 18:12-14 

DAILY PRAYER: Anticipation 
Amos 7:1-17 
Revelation 1:9-16 
Matthew 22:34-46

COLLECT
Stir up our hearts, Lord,
to prepare the way of your only-begotten Son:
that, in his coming,
we might serve you with our hearts made pure;
through the same Jesus Christ, our Lord,
who lives and reigns with you,
in the unity of the Holy Spirit,
one God, world without end.",Normal,Normal,3
