Import file template field,Start date,,SUBJECT,SUBJECT,SUBJECT,DESCRIPTION,DESCRIPTION,DESCRIPTION,,DESCRIPTION,DESCRIPTION,
Instructions,1. Update for current year,,"2. Copy Church Year data, beware of Easter date",< 3. Add to Subject,< 4. Add to Subject (and translate),7. Copy to Description >,5. Copy Subject to Description first,6. < Add to description,,8. < Add to description,8. < Add to description,
,Date,,Calendar (Church Year),SEC Bishops,Calendar (Saints),Calendar (Saints) readings,Description,Readings,Week of PROPER,Special Occasions,Collect,Notes
Sunday - ADVENT 1,2022-11-27,,First Sunday of Advent [1] Violet,,,,"Sunday 27 November 2022

First Sunday of Advent [1] Violet
Week of Advent 1
FIRST SUNDAY OF ADVENT [1] Violet
Year A/1

EUCHARIST
Isaiah 2:1-5
Psalm 122
Romans 13:11-14
Matthew 24:36-44

DAILY PRAYER: Anticipation
Isaiah 52:1-12
Revelation 14:13 - 15:4
Matthew 24:15-18

ALTERNATIVE PSALMS
Morning: Psalm 9
Evening: Psalm 2

COLLECT
Stir up your power, Lord, and come: 
that, with you as our protector, 
we may be rescued from our sins;
and with you as our deliverer,
we may be set free; 
for you live and reign with God the Father, 
in the unity of the Holy Spirit, 
one God, world without end.

The following Collect may be used to conclude the Intercession throughout Advent, or as the Prayer after Communion as an alternative to the Prayers in section 24 of the Scottish Liturgy 1982.

Almighty God,
give us grace to cast away the works of darkness
and to put on the armour of light,
now in the time of this mortal life,
in which your Son Jesus Christ came to us in great humility:
that on the last day,
when he shall come again in his glorious majesty
to judge the living and the dead,
we may rise to the life immortal;
through him who lives and reigns with you,
in the unity of the Holy Spirit,
one God, world without end.

Downloaded from https://www.seccalendar.org.uk/
v1.0.0 (2022-11-23)",,,,,
Monday,2022-11-28,,Monday after First Sunday of Advent,,,,"Monday 28 November 2022

Monday after First Sunday of Advent
Week of Advent 1
Year A/1

DAILY EUCHARIST (Violet)
Isaiah 4:2-6 
Psalm 122 
Matthew 8:5-13

DAILY PRAYER: Anticipation 
Isaiah 1:1-20
1 Thessalonians 1:1-10
Luke 20:1-8

COLLECT
Stir up your power, Lord, and come: 
that, with you as our protector, 
we may be rescued from our sins;
and with you as our deliverer,
we may be set free; 
for you live and reign with God the Father, 
in the unity of the Holy Spirit, 
one God, world without end.

The following Collect may be used to conclude the Intercession throughout Advent, or as the Prayer after Communion as an alternative to the Prayers in section 24 of the Scottish Liturgy 1982 -

Almighty God,
give us grace to cast away the works of darkness
and to put on the armour of light,
now in the time of this mortal life,
in which your Son Jesus Christ came to us in great humility:
that on the last day,
when he shall come again in his glorious majesty
to judge the living and the dead,
we may rise to the life immortal;
through him who lives and reigns with you,
in the unity of the Holy Spirit,
one God, world without end.",,,,,
Tuesday,2022-11-29,,Tuesday after First Sunday of Advent,,,,"Tuesday 29 November 2022

Tuesday after First Sunday of Advent
Week of Advent 1
Year A/1

DAILY EUCHARIST (Violet)
Isaiah 11:1-10 
Psalm 72:1-8 
Luke 10:21-24 

DAILY PRAYER: Anticipation 
Isaiah 1:21-31
1 Thessalonians 2:1-12
Luke 20:9-18

COLLECT
Stir up your power, Lord, and come: 
that, with you as our protector, 
we may be rescued from our sins;
and with you as our deliverer,
we may be set free; 
for you live and reign with God the Father, 
in the unity of the Holy Spirit, 
one God, world without end.

The following Collect may be used to conclude the Intercession throughout Advent, or as the Prayer after Communion as an alternative to the Prayers in section 24 of the Scottish Liturgy 1982 -

Almighty God,
give us grace to cast away the works of darkness
and to put on the armour of light,
now in the time of this mortal life,
in which your Son Jesus Christ came to us in great humility:
that on the last day,
when he shall come again in his glorious majesty
to judge the living and the dead,
we may rise to the life immortal;
through him who lives and reigns with you,
in the unity of the Holy Spirit,
one God, world without end.",,,,,
Wednesday,2022-11-30,,"Andrew, Apostle, Patron of Scotland [4] Red",,,,"Wednesday 30 November 2022

Andrew, Apostle, Patron of Scotland [4] Red
Week of Advent 1
Year A/1

EUCHARIST
Deuteronomy 30:11-14 or Isaiah 52:7-10
Psalm 19:1-6
Romans 10:(8b-11), 12-18
Matthew 4:18-22

MORNING PRAYER: Festivals
Isaiah 49:1-6
1 Corinthians 4:1-16

EVENING PRAYER: Festivals
Isaiah 55:1-5
John 1:35-42

COLLECT
Almighty God, 
who gave such grace to your apostle Andrew 
that he readily obeyed the call of your Son, Jesus Christ:
give us, who are called by your holy Word,
the grace to follow him without delay,
and to be messengers of the good news of your kingdom;
through the same Jesus Christ, our Lord,
who lives and reigns with you,
in the unity of the Holy Spirit,
one God, world without end.

---

Wednesday after First Sunday of Advent
Week of Advent 1
Year A/1

DAILY EUCHARIST (Violet)
Isaiah 25:6-9 
Psalm 23 
Matthew 15:29-39 

DAILY PRAYER: Anticipation 
Isaiah 2:1-11
1 Thessalonians 2:13-20
Luke 20:19-26

COLLECT
Stir up your power, Lord, and come: 
that, with you as our protector, 
we may be rescued from our sins;
and with you as our deliverer,
we may be set free; 
for you live and reign with God the Father, 
in the unity of the Holy Spirit, 
one God, world without end.

The following Collect may be used to conclude the Intercession throughout Advent, or as the Prayer after Communion as an alternative to the Prayers in section 24 of the Scottish Liturgy 1982 -

Almighty God,
give us grace to cast away the works of darkness
and to put on the armour of light,
now in the time of this mortal life,
in which your Son Jesus Christ came to us in great humility:
that on the last day,
when he shall come again in his glorious majesty
to judge the living and the dead,
we may rise to the life immortal;
through him who lives and reigns with you,
in the unity of the Holy Spirit,
one God, world without end.",,,,,
Thursday,2022-12-01,,"Charles de Foucauld, Priest and Hermit, 1916 [6] White",,,,"Thursday 1 December 2022

Charles de Foucauld, Priest and Hermit, 1916 [6] White
Thursday after First Sunday of Advent
Week of Advent 1
Year A/1

DAILY EUCHARIST (Violet)
Isaiah 26:1-6 
Psalm 118:19-24 
Matthew 7:21-27 

DAILY PRAYER: Anticipation 
Isaiah 2:12-22
1 Thessalonians 3:1-13
Luke 20:27-40

COLLECT
Stir up your power, Lord, and come: 
that, with you as our protector, 
we may be rescued from our sins;
and with you as our deliverer,
we may be set free; 
for you live and reign with God the Father, 
in the unity of the Holy Spirit, 
one God, world without end.

The following Collect may be used to conclude the Intercession throughout Advent, or as the Prayer after Communion as an alternative to the Prayers in section 24 of the Scottish Liturgy 1982 -

Almighty God,
give us grace to cast away the works of darkness
and to put on the armour of light,
now in the time of this mortal life,
in which your Son Jesus Christ came to us in great humility:
that on the last day,
when he shall come again in his glorious majesty
to judge the living and the dead,
we may rise to the life immortal;
through him who lives and reigns with you,
in the unity of the Holy Spirit,
one God, world without end.",,,,,
Friday,2022-12-02,,"Nicholas Ferrar, Deacon, 1637 [6] White",,,,"Friday 2 December 2022

Nicholas Ferrar, Deacon, 1637 [6] White
Friday after First Sunday of Advent
Week of Advent 1
Year A/1

DAILY EUCHARIST (Violet)
Isaiah 29:17-24 
Psalm 27:1-6, 17-18 
Matthew 9:27-31 

DAILY PRAYER: Anticipation 
Isaiah 3:8-15
1 Thessalonians 4:1-12
Luke 20:41 - 21:4

COLLECT
Stir up your power, Lord, and come: 
that, with you as our protector, 
we may be rescued from our sins;
and with you as our deliverer,
we may be set free; 
for you live and reign with God the Father, 
in the unity of the Holy Spirit, 
one God, world without end.

The following Collect may be used to conclude the Intercession throughout Advent, or as the Prayer after Communion as an alternative to the Prayers in section 24 of the Scottish Liturgy 1982 -

Almighty God,
give us grace to cast away the works of darkness
and to put on the armour of light,
now in the time of this mortal life,
in which your Son Jesus Christ came to us in great humility:
that on the last day,
when he shall come again in his glorious majesty
to judge the living and the dead,
we may rise to the life immortal;
through him who lives and reigns with you,
in the unity of the Holy Spirit,
one God, world without end.",,,,,
Saturday,2022-12-03,,"Francis Xavier, Priest and Missionary, 1552 [6] White",,,,"Saturday 3 December 2022

Francis Xavier, Priest and Missionary, 1552 [6] White
Saturday after First Sunday of Advent
Week of Advent 1
Year A/1

DAILY EUCHARIST (Violet)
Isaiah 30:19-21, 23-26
Psalm 147:1-12
Matthew 9:35 - 10:1, 5-8

DAILY PRAYER: Anticipation 
Isaiah 4:2-6
1 Thessalonians 4:13-18
Luke 21:5-19

COLLECT
Stir up your power, Lord, and come: 
that, with you as our protector, 
we may be rescued from our sins;
and with you as our deliverer,
we may be set free; 
for you live and reign with God the Father, 
in the unity of the Holy Spirit, 
one God, world without end.

The following Collect may be used to conclude the Intercession throughout Advent, or as the Prayer after Communion as an alternative to the Prayers in section 24 of the Scottish Liturgy 1982 -

Almighty God,
give us grace to cast away the works of darkness
and to put on the armour of light,
now in the time of this mortal life,
in which your Son Jesus Christ came to us in great humility:
that on the last day,
when he shall come again in his glorious majesty
to judge the living and the dead,
we may rise to the life immortal;
through him who lives and reigns with you,
in the unity of the Holy Spirit,
one God, world without end.",,,,,
Sunday - ADVENT 2,2022-12-04,,Second Sunday of Advent [1] Violet,,,,"Sunday 4 December 2022

Second Sunday of Advent [1] Violet
Week of Advent 2
Year A/1

EUCHARIST
Isaiah 11:1-10
Psalm 72:1-7, 18-19
Romans 15:4-13
Matthew 3:1-12

DAILY PRAYER: Anticipation 
1 Kings 18:17-39
Romans 15:4-13
Luke 1:1-25

ALTERNATIVE PSALMS
Morning: Psalm 11
Evening: Psalm 40:11-17

COLLECT
Stir up our hearts, Lord, 
to prepare the way of your only-begotten Son: 
that, in his coming,
we might serve you with our hearts made pure; 
through the same Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",,,,,
