,Start date,SUBJECT,DESCRIPTION,
,1. Update for current year,"2. Copy Church Year data, beware of Easter date",5. Copy Subject to Description first,
,Date,Calendar (Church Year),Description,
Sunday,2024-12-01,First Sunday of Advent [1] Violet,"Sunday 1 December 2024

First Sunday of Advent [1] Violet
Week of Advent 1
Year C/1

EUCHARIST
Jeremiah 33:14-16
Psalm 25:1-10
1 Thessalonians 3:9-13
Luke 21:25-36

DAILY PRAYER: Anticipation
Isaiah 52:1-12
Revelation 14:13 - 15:4
Matthew 24:15-18

ALTERNATIVE PSALMS
Morning: Psalm 9
Evening: Psalm 25

COLLECT (Advent 1)
Stir up your power, Lord, and come:
that, with you as our protector,
we may be rescued from our sins;
and with you as our deliverer,
we may be set free;
for you live and reign with God the Father,
in the unity of the Holy Spirit,
one God, world without end.

ADDITIONAL COLLECT FOR ADVENT
This Collect may be used to conclude the Intercession throughout Advent, or as the Prayer after Communion as an alternative to the Prayers in section 24 of the Scottish Liturgy 1982.

Almighty God,
give us grace to cast away the works of darkness
and to put on the armour of light,
now in the time of this mortal life,
in which your Son Jesus Christ came to us in great humility:
that on the last day,
when he shall come again in his glorious majesty
to judge the living and the dead,
we may rise to the life immortal;
through him who lives and reigns with you,
in the unity of the Holy Spirit,
one God, world without end.

v1.0.3 2025-09-01",
Monday,2024-12-02,"Nicholas Ferrar, Deacon, 1637 [6] White","Monday 2 December 2024

Nicholas Ferrar, Deacon, 1637 [6] White
Monday after First Sunday of Advent (Violet)
Week of Advent 1
Year C/1

DAILY EUCHARIST
Isaiah 4:2-6 
Psalm 122 
Matthew 8:5-13

DAILY PRAYER: Anticipation 
Isaiah 1:1-20
1 Thessalonians 1:1-10
Luke 20:1-8

COLLECT (Advent 1)
Stir up your power, Lord, and come:
that, with you as our protector,
we may be rescued from our sins;
and with you as our deliverer,
we may be set free;
for you live and reign with God the Father,
in the unity of the Holy Spirit,
one God, world without end.",
Tuesday,2024-12-03,"Francis Xavier, Priest and Missionary, 1552 [6] White","Tuesday 3 December 2024

Francis Xavier, Priest and Missionary, 1552 [6] White
Tuesday after First Sunday of Advent (Violet)
Week of Advent 1
Year C/1

DAILY EUCHARIST
Isaiah 11:1-10 
Psalm 72:1-8 
Luke 10:21-24 

DAILY PRAYER: Anticipation 
Isaiah 1:21-31
1 Thessalonians 2:1-12
Luke 20:9-18

COLLECT (Advent 1)
Stir up your power, Lord, and come:
that, with you as our protector,
we may be rescued from our sins;
and with you as our deliverer,
we may be set free;
for you live and reign with God the Father,
in the unity of the Holy Spirit,
one God, world without end.",
Wednesday,2024-12-04,"Clement of Alexandria, Teacher of the Faith, c.214 [6] White","Wednesday 4 December 2024

Clement of Alexandria, Teacher of the Faith, c.214 [6] White
Wednesday after First Sunday of Advent (Violet)
Week of Advent 1
Year C/1

DAILY EUCHARIST
Isaiah 25:6-9 
Psalm 23 
Matthew 15:29-39 

DAILY PRAYER: Anticipation 
Isaiah 2:1-11
1 Thessalonians 2:13-20
Luke 20:19-26

COLLECT (Advent 1)
Stir up your power, Lord, and come:
that, with you as our protector,
we may be rescued from our sins;
and with you as our deliverer,
we may be set free;
for you live and reign with God the Father,
in the unity of the Holy Spirit,
one God, world without end.",
Thursday,2024-12-05,"Charles de Foucauld, Priest and Hermit, 1916 [6] White (transferred from 1 December)","Thursday 5 December 2024

Charles de Foucauld, Priest and Hermit, 1916 [6] White (transferred from 1 December)
Thursday after First Sunday of Advent (Violet)
Week of Advent 1
Year C/1

DAILY EUCHARIST
Isaiah 26:1-6 
Psalm 118:19-24 
Matthew 7:21-27 

DAILY PRAYER: Anticipation 
Isaiah 2:12-22
1 Thessalonians 3:1-13
Luke 20:27-40

COLLECT (Advent 1)
Stir up your power, Lord, and come:
that, with you as our protector,
we may be rescued from our sins;
and with you as our deliverer,
we may be set free;
for you live and reign with God the Father,
in the unity of the Holy Spirit,
one God, world without end.",
Friday,2024-12-06,"Nicholas of Myra, Bishop, 4th century [6] White","Friday 6 December 2024

Nicholas of Myra, Bishop, 4th century [6] White
Friday after First Sunday of Advent (Violet)
Week of Advent 1
Year C/1

DAILY EUCHARIST
Isaiah 29:17-24 
Psalm 27:1-6, 17-18 
Matthew 9:27-31 

DAILY PRAYER: Anticipation 
Isaiah 3:8-15
1 Thessalonians 4:1-12
Luke 20:41 - 21:4

COLLECT (Advent 1)
Stir up your power, Lord, and come:
that, with you as our protector,
we may be rescued from our sins;
and with you as our deliverer,
we may be set free;
for you live and reign with God the Father,
in the unity of the Holy Spirit,
one God, world without end.",
Saturday,2024-12-07,"Ambrose of Milan, Bishop and Teacher of the Faith, 397 [6] White","Saturday 7 December 2024

Ambrose of Milan, Bishop and Teacher of the Faith, 397 [6] White
Saturday after First Sunday of Advent (Violet)
Week of Advent 1
Year C/1

DAILY EUCHARIST
Isaiah 30:19-21, 23-26
Psalm 147:1-12
Matthew 9:35 - 10:1, 5-8

DAILY PRAYER: Anticipation 
Isaiah 4:2-6
1 Thessalonians 4:13-18
Luke 21:5-19

COLLECT (Advent 1)
Stir up your power, Lord, and come:
that, with you as our protector,
we may be rescued from our sins;
and with you as our deliverer,
we may be set free;
for you live and reign with God the Father,
in the unity of the Holy Spirit,
one God, world without end.",
Sunday,2024-12-08,Second Sunday of Advent [1] Violet,"Sunday 8 December 2024

Second Sunday of Advent [1] Violet
Week of Advent 2
Year C/1

EUCHARIST
Baruch 5:1-9 or Malachi 3:1-4
Canticle: Luke 1:68-79
Philippians 1:3-11
Luke 3:1-6

DAILY PRAYER: Anticipation 
1 Kings 18:17-39
Romans 15:4-13
Luke 1:1-25

ALTERNATIVE PSALMS
Morning: Psalm 11
Evening: Psalm 40:11-17

COLLECT (Advent 2)
Stir up our hearts, Lord, 
to prepare the way of your only-begotten Son: 
that, in his coming,
we might serve you with our hearts made pure; 
through the same Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",
