date,feast,colour,year,rcl,daily,showold,nextyear
21/11/2019,"Columban, Bishop, 615 [6] White",white,2018-2019,C,1,y,2019-2020
22/11/2019,"Cecilia, Martyr, c.230 [6] White",white,2018-2019,C,1,y,2019-2020
23/11/2019,"Clement of Rome, Bishop and Martyr, c.100 [6] Red",red,2018-2019,C,1,y,2019-2020
24/11/2019,The Last Sunday after Pentecost (Christ the King) [3] White or Red (The Sunday before Advent),white,2018-2019,C,1,y,2019-2020
25/11/2019,"Lucy Menzies, 1954 [6] White (translated from 24 November)",white,2018-2019,C,1,y,2019-2020
26/11/2019,Tuesday after the Last Sunday after Pentecost,green,2018-2019,C,1,y,2019-2020
27/11/2019,Wednesday after the Last Sunday after Pentecost,green,2018-2019,C,1,y,2019-2020
28/11/2019,Thursday after the Last Sunday after Pentecost,green,2018-2019,C,1,y,2019-2020
29/11/2019,Friday after the Last Sunday after Pentecost,green,2018-2019,C,1,y,2019-2020
30/11/2019,"Andrew, Apostle, Patron of Scotland [4] Red",red,2018-2019,C,1,y,2019-2020
1/12/2019,First Sunday of Advent [1] Violet,violet,2019-2020,A,2,,
2/12/2019,"Nicholas Ferrar, Deacon, 1637 [6] White",white,2019-2020,A,2,,
3/12/2019,"Francis Xavier, Priest and Missionary, 1552 [6] White",white,2019-2020,A,2,,
4/12/2019,"Clement of Alexandria, Teacher of the Faith, c.210 [6] White",white,2019-2020,A,2,,
5/12/2019,"Charles de Foucauld, Priest and Hermit, 1916 [6] White (translated from 1 December)",white,2019-2020,A,2,,
6/12/2019,"Nicholas of Myra, Bishop, 4th century [6] White",white,2019-2020,A,2,,
7/12/2019,"Ambrose of Milan, Bishop and Teacher of the Faith, c.210 [6] White",white,2019-2020,A,2,,
8/12/2019,Second Sunday of Advent [1] Violet,violet,2019-2020,A,2,,
9/12/2019,"The Conception of Mary, Mother of the Lord [5] White (translated from 8 December)",white,2019-2020,A,2,,
10/12/2019,Tuesday after Second Sunday of Advent,violet,2019-2020,A,2,,
11/12/2019,Wednesday after Second Sunday of Advent,violet,2019-2020,A,2,,
12/12/2019,Thursday after Second Sunday of Advent,violet,2019-2020,A,2,,
13/12/2019,Friday after Second Sunday of Advent,violet,2019-2020,A,2,,
14/12/2019,"John of the Cross, Priest, Teacher of the Faith, 1591 [6] White",white,2019-2020,A,2,,
15/12/2019,Third Sunday of Advent [1] Violet,violet,2019-2020,A,2,,
16/12/2019,Monday after Third Sunday of Advent,violet,2019-2020,A,2,,
17/12/2019,Tuesday after Third Sunday of Advent,violet,2019-2020,A,2,,
18/12/2019,Wednesday after Third Sunday of Advent (Ember Day),violet,2019-2020,A,2,,
19/12/2019,Thursday after Third Sunday of Advent,violet,2019-2020,A,2,,
20/12/2019,Friday after Third Sunday of Advent (Ember Day),violet,2019-2020,A,2,,
21/12/2019,"Thomas, Apostle [4] Red (if not kept on 3 July) (Ember Day)",red,2019-2020,A,2,,
22/12/2019,Fourth Sunday of Advent [1] Violet,violet,2019-2020,A,2,,
23/12/2019,Monday after Fourth Sunday of Advent,violet,2019-2020,A,2,,
24/12/2019,Christmas Eve [2],violet,2019-2020,A,2,,
25/12/2019,Christmas Day [1] White,white,2019-2020,A,2,,
26/12/2019,"Stephen, Deacon and Martyr [4] Red",red,2019-2020,A,2,,
27/12/2019,"John, Apostle and Evangelist [4] White",white,2019-2020,A,2,,
28/12/2019,The Holy Innocents [4] White,white,2019-2020,A,2,,
29/12/2019,First Sunday after Christmas [2] White,white,2019-2020,A,2,,
30/12/2019,"Josephine Butler, 1905 [6] White",white,2019-2020,A,2,,
31/12/2019,"John Wycliffe, Priest, 1384 [6] White",white,2019-2020,A,2,,
1/1/2020,The Naming of Jesus [2] White,white,2019-2020,A,2,,
2/1/2020,"Seraphim of Sarov, 1833 [6] White",white,2019-2020,A,2,,
3/1/2020,"Thomas of Canterbury, Bishop and Martyr, 1170 [6] Red (translated from 29 December)",red,2019-2020,A,2,,
4/1/2020,Saturday after the First Sunday after Christmas,white,2019-2020,A,2,,
5/1/2020,Second Sunday after Christmas [3] White,white,2019-2020,A,2,,
6/1/2020,The Epiphany [1] White,white,2019-2020,A,2,,
7/1/2020,Tuesday after the Epiphany,green,2019-2020,A,2,,
8/1/2020,Wednesday after the Epiphany,green,2019-2020,A,2,,
9/1/2020,Thursday after the Epiphany,green,2019-2020,A,2,,
10/1/2020,"William Laud, Bishop, 1645 [6] Red",red,2019-2020,A,2,,
11/1/2020,"David, King of Scots, 1153 [6] Red",red,2019-2020,A,2,,
12/1/2020,First Sunday after Epiphany: The Baptism of the Lord [2] White,white,2019-2020,A,2,,
13/1/2020,"Kentigern (or Mungo), Bishop c.603 [4] White",white,2019-2020,A,2,,
14/1/2020,"Hilary of Poitiers, Bishop and Teacher of the Faith, c.367 [6] White",white,2019-2020,A,2,,
15/1/2020,Wednesday after First Sunday after Epiphany,green,2019-2020,A,2,,
16/1/2020,Thursday after First Sunday after Epiphany,green,2019-2020,A,2,,
17/1/2020,"Antony of Egypt, Abbot, 356 [6] White",white,2019-2020,A,2,,
18/1/2020,The Confession of Peter [6] White,white,2019-2020,A,2,,
19/1/2020,Second Sunday after Epiphany [3] Green,green,2019-2020,A,2,,
20/1/2020,Monday after Second Sunday after Epiphany,green,2019-2020,A,2,,
21/1/2020,"Agnes, Martyr, c.304 [6] Red",red,2019-2020,A,2,,
22/1/2020,Wednesday after Second Sunday after Epiphany,green,2019-2020,A,2,,
23/1/2020,Thursday after Second Sunday after Epiphany,green,2019-2020,A,2,,
24/1/2020,"Francis de Sales, Bishop, 1622 [6] White",white,2019-2020,A,2,,
25/1/2020,"The Conversion of Paul, Apostle [4] White",white,2019-2020,A,2,,
26/1/2020,Third Sunday after Epiphany [3] Green,green,2019-2020,A,2,,
27/1/2020,"John Chrysostom, Bishop and Teacher of the Faith, 407 [6] White",white,2019-2020,A,2,,
28/1/2020,"Thomas Aquinas, Teacher of the Faith, 1274 [6] White",white,2019-2020,A,2,,
29/1/2020,"Timothy and Titus, Bishops [6] White (translated from 26 January)",white,2019-2020,A,2,,
30/1/2020,"Charles I, King, 1649 [6] Red",red,2019-2020,A,2,,
31/1/2020,"Charles Mackenzie of Central Africa, Bishop, Missionary, Martyr, 1862 [6] Red",red,2019-2020,A,2,,
1/2/2020,"Bride of Kildare, Abbess, c.525 [6] White",white,2019-2020,A,2,,
2/2/2020,The Presentation of the Lord [2] White,white,2019-2020,A,2,,
3/2/2020,Saints and Martyrs of Europe [6] Red,red,2019-2020,A,2,,
4/2/2020,"Tuesday after Fourth Sunday after Epiphany (Ordination of the Rt Revd Kevin Pearson as Bishop of Argyll and the Isles, 2011)",green,2019-2020,A,2,,
5/2/2020,Wednesday after Fourth Sunday after Epiphany,green,2019-2020,A,2,,
6/2/2020,"Paul Miki, Priest, and the Martyrs of Japan, 1597 [6] Red",red,2019-2020,A,2,,
7/2/2020,Friday after Fourth Sunday after Epiphany,green,2019-2020,A,2,,
