date,theme,season,feast,description,class,liturgical-colour,translated,spb,emberogation,bishop,year-from,year-to,rcl,daily
26/11/2020,green,Pentecost,Thursday after the Last Sunday after Pentecost,Feria,,Green,,,,,2019,2020,A,2
25/11/2020,white,Pentecost,St Cecilia,"Martyr, c.230",6,White,Translated from 22 November,,,,2019,2020,A,2
27/11/2020,green,Pentecost,Friday after the Last Sunday after Pentecost,Feria,,Green,,,,,2019,2020,A,2
28/11/2020,green,Pentecost,Saturday after the Last Sunday after Pentecost,Feria,,Green,,,,,2019,2020,A,2
29/11/2020,violet,Advent,First Sunday of Advent,Advent 1,1,Violet,,,,,2020,2021,B,1
30/11/2020,red,Advent,St Andrew,Apostle and Patron of Scotland,4,Red,,,,,2020,2021,B,1
01/12/2020,white,Advent,Charles de Foucauld,"Priest and Hermit, 1916",6,White,,,,,2020,2021,B,1
02/12/2020,white,Advent,Nicholas Ferrar,"Deacon, 1637",6,White,,,,,2020,2021,B,1
03/12/2020,white,Advent,St Francis Xavier,"Priest and Missionary, 1552",6,White,,,,,2020,2021,B,1
04/12/2020,white,Advent,St Clement of Alexandria,"Teacher of the Faith, c.214",6,White,,,,,2020,2021,B,1
05/12/2020,violet,Advent,Saturday after First Sunday of Advent,Feria,,Violet,,,,,2020,2021,B,1
06/12/2020,violet,Advent,Second Sunday of Advent,Advent 2,1,Violet,,,,,2020,2021,B,1
07/12/2020,white,Advent,St Ambrose of Milan,"Bishop and Teacher of the Faith, 397",6,White,,,,,2020,2021,B,1
08/12/2020,white,Advent,The Conception of St Mary,Mother of the Lord,5,White,,,,,2020,2021,B,1
09/12/2020,white,Advent,St Nicholas of Myra,"Bishop, 4th century",6,White,Translated from 6 December,,,,2020,2021,B,1
10/12/2020,violet,Advent,Thursday after Second Sunday of Advent,Feria,,Violet,,,,,2020,2021,B,1
11/12/2020,violet,Advent,Friday after Second Sunday of Advent,Feria,,Violet,,,,,2020,2021,B,1
12/12/2020,violet,Advent,Saturday after Second Sunday of Advent,Feria,,Violet,,,,,2020,2021,B,1
13/12/2020,violet,Advent,Third Sunday of Advent,Advent 3,1,Violet,,,,,2020,2021,B,1
14/12/2020,white,Advent,St John of the Cross,"Priest, Teacher of the Faith, 1591",6,White,,,,,2020,2021,B,1
15/12/2020,violet,Advent,Tuesday after Third Sunday of Advent,Feria,,Violet,,,,,2020,2021,B,1
16/12/2020,violet,Advent,Wednesday after Third Sunday of Advent,Feria,,Violet,,,Ember day,,2020,2021,B,1
17/12/2020,violet,Advent,Thursday after Third Sunday of Advent,Feria,,Violet,,,,,2020,2021,B,1
18/12/2020,violet,Advent,Friday after Third Sunday of Advent,Feria,,Violet,,,Ember day,,2020,2021,B,1
19/12/2020,violet,Advent,Saturday after Third Sunday of Advent,Feria,,Violet,,,Ember day,,2020,2021,B,1
20/12/2020,violet,Advent,Fourth Sunday of Advent,Advent 4,1,Violet,,,,,2020,2021,B,1
21/12/2020,red,Advent,St Thomas,Apostle,4,Red,If not kept on 3 July,,,,2020,2021,B,1
22/12/2020,violet,Advent,Tuesday after Fourth Sunday of Advent,Feria,,Violet,,,,,2020,2021,B,1
23/12/2020,violet,Advent,Wednesday after Fourth Sunday of Advent,Feria,,Violet,,,,,2020,2021,B,1
24/12/2020,violet,Advent,Christmas Eve,,2,Violet,,,,,2020,2021,B,1
